order_id,customer_id,restaurant_id,order_value,distance_km,estimated_delivery_min,hour_of_day,day_of_week,is_weekend,rain,surge_pricing_multiplier,promo_applied,prep_delay_min,was_cancelled
ord_000001,cust_00540,rest_0636,313,13.81,68,15,Monday,0,0,1.2,1,0,0
ord_000002,cust_00818,rest_0854,199,4.33,33,21,Tuesday,0,0,1.0,1,0,1
ord_000003,cust_02837,rest_0264,203,9.32,39,13,Saturday,1,0,1.0,0,0,0
ord_000004,cust_01093,rest_0426,94,5.02,26,18,Tuesday,0,0,1.0,0,0,0
ord_000005,cust_00246,rest_0716,286,8.64,57,12,Friday,0,1,1.0,0,0,0
ord_000006,cust_03596,rest_0300,294,8.48,34,8,Thursday,0,0,1.0,0,0,1
ord_000007,cust_00997,rest_1408,375,6.04,43,9,Sunday,1,0,1.0,0,0,0
ord_000008,cust_02728,rest_1161,202,7.87,30,6,Thursday,0,0,1.0,1,0,0
ord_000009,cust_01585,rest_1118,84,2.69,23,21,Tuesday,0,0,1.0,1,1,0
ord_000010,cust_01238,rest_0008,293,5.62,37,15,Saturday,1,0,1.0,1,0,0
ord_000011,cust_00572,rest_1216,181,12.29,59,18,Sunday,1,0,1.0,0,3,0
ord_000012,cust_00277,rest_0785,707,7.37,43,16,Thursday,0,0,1.0,0,11,0
ord_000013,cust_00600,rest_0353,254,7.42,29,18,Thursday,0,0,1.0,0,0,0
ord_000014,cust_04020,rest_1470,89,11.57,51,14,Monday,0,0,1.0,0,5,0
ord_000015,cust_02283,rest_0584,255,11.1,55,13,Thursday,0,0,1.0,0,1,1
ord_000016,cust_01388,rest_0226,314,7.17,36,20,Sunday,1,0,1.0,1,0,0
ord_000017,cust_04255,rest_1010,179,9.29,50,16,Tuesday,0,0,1.0,0,1,0
ord_000018,cust_03461,rest_0781,309,8.89,48,20,Monday,0,0,1.0,0,0,0
ord_000019,cust_03011,rest_1373,149,9.89,42,8,Tuesday,0,0,1.0,1,0,0
ord_000020,cust_01947,rest_0560,145,12.93,49,19,Wednesday,0,0,1.0,0,0,0
ord_000021,cust_00025,rest_1324,83,6.35,37,17,Monday,0,0,1.2,0,0,0
ord_000022,cust_01460,rest_1060,276,8.94,48,20,Friday,0,0,1.2,0,0,0
ord_000023,cust_02747,rest_0680,260,3.69,27,8,Sunday,1,0,1.0,1,10,0
ord_000024,cust_03233,rest_1281,478,5.79,37,20,Saturday,1,1,1.0,0,0,0
ord_000025,cust_04269,rest_0202,193,10.19,50,19,Monday,0,0,1.0,1,10,0
ord_000026,cust_00154,rest_1264,124,12.98,52,14,Monday,0,0,1.0,0,0,0
ord_000027,cust_03284,rest_1236,161,3.24,23,19,Sunday,1,0,1.2,0,5,0
ord_000028,cust_01831,rest_0881,407,9.52,47,10,Saturday,1,1,1.0,0,3,0
ord_000029,cust_01668,rest_0379,172,6.86,34,8,Friday,0,1,1.0,1,0,0
ord_000030,cust_03439,rest_0720,173,14.46,71,21,Saturday,1,1,1.0,0,0,0
ord_000031,cust_04765,rest_0038,522,3.32,22,19,Saturday,1,0,1.0,0,0,0
ord_000032,cust_01135,rest_0390,277,10.8,59,17,Sunday,1,0,1.5,0,7,0
ord_000033,cust_00779,rest_0984,328,4.93,35,20,Thursday,0,0,1.0,1,0,0
ord_000034,cust_03763,rest_0494,242,13.47,46,10,Friday,0,0,1.0,1,0,0
ord_000035,cust_02361,rest_0453,323,3.71,32,20,Saturday,1,1,1.0,0,0,0
ord_000036,cust_04462,rest_0558,771,5.95,38,8,Friday,0,0,1.0,0,0,0
ord_000037,cust_04134,rest_1143,109,10.53,46,12,Saturday,1,0,2.0,0,5,0
ord_000038,cust_02640,rest_0070,435,11.19,67,21,Sunday,1,0,1.5,0,0,0
ord_000039,cust_03374,rest_0735,149,2.07,28,11,Friday,0,1,1.0,1,8,0
ord_000040,cust_02833,rest_0357,146,13.48,58,20,Wednesday,0,0,1.0,1,7,0
ord_000041,cust_03763,rest_1291,469,2.96,28,15,Sunday,1,0,1.0,0,0,0
ord_000042,cust_02781,rest_1447,291,13.13,64,18,Monday,0,1,1.0,0,8,0
ord_000043,cust_02051,rest_1223,496,11.18,67,19,Monday,0,0,1.0,0,0,1
ord_000044,cust_03073,rest_1264,174,10.11,48,14,Friday,0,0,1.5,1,0,0
ord_000045,cust_03380,rest_1119,180,6.23,39,8,Sunday,1,0,1.0,0,5,0
ord_000046,cust_04335,rest_0297,441,0.97,14,19,Sunday,1,1,1.0,0,0,0
ord_000047,cust_01402,rest_0418,280,6.94,39,18,Wednesday,0,0,1.0,0,0,0
ord_000048,cust_03887,rest_1351,330,5.51,33,13,Wednesday,0,1,1.0,0,0,0
ord_000049,cust_01012,rest_0287,249,7.6,39,15,Sunday,1,1,1.0,0,2,0
