restaurant_id,name,cuisine,zone,avg_rating,num_reviews,avg_order_value,avg_delivery_time_min,prep_time_min,distance_km,is_promoted,monthly_orders,active_hours
rest_0001,Bombay Kitchen,Mexican,Marathahalli,3.38,259,471,37,12,0.87,0,449,11
rest_0002,Third_Wave Eatery,North_Indian,Banashankari,4.04,1166,368,34,18,0.57,0,4097,19
rest_0003,Rameshwaram Cafe,Biryani,Electronic_City,4.19,259,237,23,21,7.44,0,911,19
rest_0004,Brahmin Lab,South_Indian,BTM_Layout,4.26,3162,862,47,17,3.12,1,7030,9
rest_0005,Grill Point,Pizza,Marathahalli,4.28,383,348,26,18,8.36,0,642,18
rest_0006,Tandoor Lab,Mexican,JP_Nagar,3.69,1360,475,27,20,9.42,0,2818,8
rest_0007,Curry Hut,Biryani,HSR_Layout,4.43,694,285,35,22,7.89,0,1288,10
rest_0008,Oven Plate,Continental,Banashankari,3.96,1245,360,27,14,1.55,0,2014,9
rest_0009,Delhi Diner,Chinese,Domlur,3.28,831,438,34,18,10.4,0,1270,19
rest_0010,Bombay Stop,Cafe,Banashankari,3.65,184,105,28,10,11.47,0,678,12
rest_0011,Third_Wave Hub,Continental,Whitefield,2.95,337,192,21,10,2.36,0,1308,16
rest_0012,Royal Eatery,Fast_Food,Rajajinagar,4.84,2719,592,32,33,1.49,0,7382,9
rest_0013,Madras Junction,Japanese,Rajajinagar,2.75,280,272,28,11,9.19,0,902,19
rest_0014,Biryani Hut,Japanese,Yeshwanthpur,4.37,974,248,27,12,7.27,0,2021,11
rest_0015,Royal House,Mexican,Yeshwanthpur,4.06,457,1088,27,31,8.19,0,930,10
rest_0016,Shivaji Garden,Desserts,Rajajinagar,2.79,59,225,26,14,10.43,0,96,18
rest_0017,Desi Express,Pizza,Silk_Board,4.32,559,277,37,24,2.61,0,1485,9
rest_0018,Veena Lab,South_Indian,Indiranagar,3.31,17,293,39,11,6.08,0,34,14
rest_0019,Golden Hub,Pizza,Koramangala,2.9,411,253,24,14,8.9,0,1421,18
rest_0020,Paradise Junction,Italian,Yelahanka,3.28,1160,224,30,11,5.98,1,4406,16
rest_0021,Tandoor Express,Continental,HSR_Layout,2.6,44,229,22,14,10.74,1,93,17
rest_0022,Green Eatery,South_Indian,Sarjapur,3.35,171,286,21,18,3.24,0,425,18
rest_0023,Biryani Factory,Fast_Food,HSR_Layout,4.56,4812,1197,27,32,3.55,0,18445,9
rest_0024,Oven Dhaba,Biryani,MG_Road,3.91,669,445,45,10,6.88,0,2561,9
rest_0025,Madras Corner,South_Indian,Whitefield,2.73,154,213,37,13,7.79,0,332,15
rest_0026,Flame Express,South_Indian,Yeshwanthpur,3.56,57,333,24,18,5.58,0,186,16
rest_0027,Royal Point,South_Indian,Old_Airport_Road,3.32,437,161,32,10,0.98,0,1053,20
rest_0028,Green Dhaba,Italian,Domlur,3.33,1196,554,33,14,3.22,0,2279,20
