post_id,engagement_score,connection_strength,hours_since_posted,content_type,creator_followers
post_00001,21.04,0.41,166,text,340052
post_00002,48.8,0.5,55,poll,71112
post_00003,57.51,0.1,155,article,200439
post_00004,89.34,0.4,14,video,296216
post_00005,24.05,0.07,37,text,50952
post_00006,76.01,0.87,62,poll,46915
post_00007,80.69,0.37,35,video,8907
post_00008,45.58,0.79,102,video,345449
post_00009,52.25,0.23,14,text,69230
post_00010,44.07,0.72,49,poll,357768
post_00011,42.4,0.69,44,image,360545
post_00012,66.74,0.49,159,video,176745
post_00013,18.07,0.37,91,article,363986
post_00014,67.56,0.66,57,poll,225792
post_00015,24.39,0.68,34,image,334040
post_00016,70.94,0.25,145,video,417053
post_00017,59.81,0.38,131,poll,414537
post_00018,28.76,0.63,104,image,202599
post_00019,36.66,0.64,32,text,434031
post_00020,71.24,0.49,86,text,114406
post_00021,45.02,0.17,55,poll,402842
post_00022,50.9,0.79,138,poll,225898
post_00023,74.59,0.28,108,video,391278
post_00024,76.86,0.38,91,image,390435
post_00025,82.7,0.43,53,poll,58639
post_00026,42.38,0.17,3,poll,416679
post_00027,80.65,0.81,28,poll,229164
post_00028,76.43,0.28,21,text,42781
post_00029,86.37,0.99,44,video,172113
post_00030,55.86,0.89,33,article,143342
post_00031,43.71,0.35,20,video,196876
post_00032,88.23,0.15,96,video,68395
post_00033,81.17,0.24,118,poll,470076
post_00034,52.34,0.08,35,image,165965
post_00035,89.85,0.75,12,video,12404
post_00036,12.54,0.86,167,article,380377
post_00037,65.58,0.85,51,image,156723
post_00038,60.15,0.39,36,article,461723
post_00039,42.18,0.53,81,article,10541
post_00040,74.62,0.81,152,poll,269666
post_00041,83.87,0.69,89,image,357987
post_00042,29.69,0.35,45,image,207788
post_00043,97.22,0.11,112,video,386783
post_00044,76.75,0.3,123,video,263236
post_00045,55.95,0.85,89,text,325491
post_00046,102.95,0.78,21,video,321485
post_00047,27.16,0.63,82,text,54318
post_00048,30.59,0.3,14,article,30075
post_00049,65.19,0.49,93,poll,8898
post_00050,16.85,0.76,63,article,164225
post_00051,85.99,0.47,78,text,12079
post_00052,61.23,0.41,17,article,384551
post_00053,48.94,0.79,158,article,344343
post_00054,30.24,0.79,66,image,111911
post_00055,80.26,0.53,10,poll,248011
post_00056,90.51,0.58,26,video,461327
post_00057,36.64,0.52,157,video,40072
post_00058,64.24,0.88,23,poll,147267
post_00059,78.65,0.99,140,video,167525
post_00060,35.74,0.31,25,article,176552
post_00061,84.53,0.48,115,image,169335
post_00062,31.57,0.13,63,article,480121
post_00063,28.72,0.19,29,article,329290
post_00064,57.31,0.35,99,article,484638
post_00065,96.93,0.1,135,video,446442
post_00066,68.07,0.41,59,image,402636
post_00067,55.82,0.35,66,poll,231062
post_00068,59.77,0.63,167,text,453874
post_00069,55.88,0.64,161,text,13343
post_00070,23.3,0.51,163,text,266692
post_00071,63.36,0.87,75,article,194817
post_00072,21.27,0.43,53,text,53226
post_00073,64.76,0.94,48,poll,334268
post_00074,89.84,0.17,55,video,128500
post_00075,41.03,0.55,136,video,193362
post_00076,43.3,0.06,0,article,321296
post_00077,47.1,0.32,38,text,149605
post_00078,41.09,0.42,76,image,107000
post_00079,64.32,0.85,15,article,248491
post_00080,51.16,0.13,56,image,373642
post_00081,84.75,0.91,88,video,42740
post_00082,44.97,0.57,77,article,449441
post_00083,13.58,0.7,8,image,60944
post_00084,63.05,0.18,37,article,1822
post_00085,65.98,0.55,51,video,58513
post_00086,48.69,0.17,51,text,446337
post_00087,53.56,0.13,12,poll,170133
post_00088,61.66,0.42,147,poll,155098
post_00089,16.81,0.69,122,article,96453
post_00090,47.47,0.8,35,text,394550
post_00091,76.44,0.1,166,poll,453255
post_00092,63.08,0.34,143,article,488137
post_00093,57.25,0.13,99,image,447471
post_00094,77.91,0.94,71,poll,51716
post_00095,29.88,0.72,75,text,107424
post_00096,59.59,0.48,121,image,226250
post_00097,48.06,0.43,154,image,28364
post_00098,27.83,0.23,27,image,157524
post_00099,67.09,0.21,122,poll,209443
post_00100,33.92,0.9,73,video,213586
post_00101,70.75,0.14,91,image,137997
post_00102,24.19,0.43,155,text,238483
post_00103,44.25,0.56,119,poll,54609
post_00104,23.5,0.33,33,article,279682
post_00105,41.22,0.72,103,poll,191048
post_00106,52.26,0.31,63,image,55532
post_00107,40.05,0.31,142,poll,234554
post_00108,42.07,0.36,36,article,190560
post_00109,51.81,0.96,145,poll,231906
post_00110,76.09,0.84,26,text,137222
post_00111,22.89,0.45,1,image,456974
post_00112,31.77,0.62,5,article,72742
post_00113,34.81,0.14,159,image,259383
post_00114,79.05,0.67,48,poll,395853
post_00115,49.34,0.4,78,text,6642
post_00116,65.99,0.92,9,text,188026
post_00117,27.7,0.26,136,image,265250
post_00118,16.68,0.74,131,image,30389
post_00119,76.71,0.67,64,text,327475
post_00120,23.58,0.67,63,text,378287
post_00121,56.16,0.07,110,image,229261
post_00122,62.01,0.36,18,image,171990
post_00123,38.07,0.92,98,poll,339602
post_00124,54.86,0.62,37,image,385401
post_00125,44.96,0.87,104,poll,4098
post_00126,31.52,0.38,76,article,380329
post_00127,74.76,0.7,31,poll,422742
post_00128,59.53,0.58,101,poll,490898
post_00129,70.1,0.18,104,poll,228356
post_00130,66.46,0.25,43,video,475435
post_00131,34.79,0.54,53,image,174301
post_00132,48.6,0.9,76,image,189721
