fan_id,match_attendance,merchandise_spend,social_engagement_score,streaming_hours,fantasy_spend,loyalty_index
fan_00001,0,812.01,0.81,37.89,26486.35,0.59
fan_00002,0,797.48,0.09,9.39,300.88,0.29
fan_00003,1,1787.15,0.97,119.84,2106.9,0.36
fan_00004,11,6572.95,0.56,58.86,1308.63,0.89
fan_00005,0,251.56,0.86,84.36,4282.59,0.52
fan_00006,0,555.83,0.13,10.22,289.36,0.16
fan_00007,1,65.92,0.73,118.64,12955.06,0.47
fan_00008,7,24956.72,0.7,31.35,1834.72,0.96
fan_00009,0,193.2,0.08,7.7,151.67,0.25
fan_00010,1,1315.75,0.59,64.17,5335.56,0.28
fan_00011,0,2569.87,0.76,48.24,27747,0.53
fan_00012,2,1115.89,0.46,79.69,23986.33,0.47
fan_00013,0,2031.12,0.45,45.73,35421.04,0.2
fan_00014,3,1307.88,0.4,46.22,17939.45,0.52
fan_00015,1,1401.95,0.63,44.1,33072.32,0.36
fan_00016,0,1977.72,0.43,33.67,44511.5,0.37
fan_00017,0,1170.12,0.68,73.99,29424.5,0.55
fan_00018,2,657.52,0.73,56.15,17768.27,0.31
fan_00019,2,402.66,0.08,21.21,84.05,0.31
fan_00020,4,35037.5,0.48,27.17,1739.91,0.92
fan_00021,1,1133.79,0.99,68.81,2676.06,0.48
fan_00022,1,308.82,0.14,6.78,472.88,0.38
fan_00023,0,369.92,0.71,59.44,13058.26,0.68
fan_00024,1,1517.02,0.63,112.16,8080.63,0.49
fan_00025,9,7494.06,0.64,49,2356.56,0.87
fan_00026,2,2531.51,0.54,60.7,26526.52,0.34
fan_00027,0,893.83,0.12,11.38,232,0.12
fan_00028,2,1018.7,0.45,34.29,13941.14,0.56
fan_00029,1,2785.35,0.42,64.66,20726.87,0.57
fan_00030,3,30694.32,0.47,41.51,432.74,0.83
fan_00031,0,2091.09,0.62,39.33,29569.57,0.34
fan_00032,2,158.8,0.08,7.58,413.66,0.26
fan_00033,2,592.9,0.27,18.51,403.65,0.37
fan_00034,1,244.61,0.05,19.88,34.77,0.23
fan_00035,1,1819.82,0.62,52.95,35312.26,0.47
fan_00036,6,11231.31,0.57,36.4,1757.42,1
fan_00037,1,362.41,0.12,24.88,56.82,0.34
fan_00038,0,27.01,0.69,45.01,5456.19,0.41
fan_00039,14,5066.16,0.62,41.62,4492.41,0.84
fan_00040,0,311.4,0.14,8.11,260.62,0.15
fan_00041,1,471.61,0.14,10.79,146.31,0.39
fan_00042,0,1102.54,0.62,91.08,9074.22,0.33
fan_00043,0,394.98,0.12,19.81,393.45,0.12
fan_00044,1,1086,0.98,47.46,9234.51,0.59
fan_00045,1,1981.61,0.82,46.48,31066.22,0.5
fan_00046,2,1737.65,0.62,32.36,41183.28,0.31
fan_00047,1,1571.75,0.81,78.24,22534.73,0.22
fan_00048,3,2452.92,0.54,67.37,47027.1,0.53
fan_00049,1,569.21,0.1,8.39,28.29,0.36
fan_00050,13,17371.46,0.8,37.65,4237.68,0.89
fan_00051,0,736.23,0.26,9.71,367.73,0.16
