user_id,avg_watch_hours,genre_diversity_score,subscription_type,days_active,completion_rate,device_primary
user_00001,6.37,0.6,premium,29,0.87,smart_tv
user_00002,6.87,0.67,premium,30,0.62,desktop
user_00003,7.47,0.3,premium,29,0.76,smart_tv
user_00004,6.41,0.68,standard,23,0.91,desktop
user_00005,7.21,0.65,standard,22,0.78,smart_tv
user_00006,8.18,0.42,premium,26,0.79,smart_tv
user_00007,0.83,0.2,basic,9,0.39,mobile
user_00008,8.5,0.48,standard,29,0.71,desktop
user_00009,4.13,0.46,standard,11,0.73,tablet
user_00010,1.91,0.26,standard,17,0.5,mobile
user_00011,3.33,0.36,basic,23,0.39,mobile
user_00012,2.44,0.45,ad_supported,15,0.41,mobile
user_00013,5.74,0.81,premium,29,0.89,smart_tv
user_00014,5.45,0.93,premium,30,0.7,smart_tv
user_00015,4.85,0.44,premium,23,0.73,smart_tv
user_00016,1.85,0.11,basic,14,0.36,tablet
user_00017,5.73,0.96,premium,20,0.6,desktop
user_00018,3.05,0.28,basic,22,0.55,mobile
user_00019,1.28,0.25,ad_supported,15,0.52,mobile
user_00020,4.05,0.73,premium,9,0.52,tablet
user_00021,4.23,0.67,premium,11,0.69,smart_tv
user_00022,1.32,0.43,standard,24,0.52,mobile
user_00023,1.62,0.22,ad_supported,10,0.4,tablet
user_00024,2.02,0.65,premium,14,0.65,tablet
user_00025,5.01,0.96,premium,26,0.6,desktop
user_00026,6.18,0.64,standard,30,0.75,desktop
user_00027,8.33,0.59,standard,22,0.71,desktop
user_00028,0.6,0.25,ad_supported,10,0.29,mobile
user_00029,6.39,0.84,premium,26,0.69,smart_tv
user_00030,2.42,0.43,standard,8,0.71,smart_tv
user_00031,0.98,0.32,basic,7,0.46,mobile
user_00032,8.99,0.35,premium,29,0.84,desktop
user_00033,6.09,0.67,premium,27,0.71,smart_tv
user_00034,7.03,0.54,standard,30,0.88,smart_tv
user_00035,6.84,0.95,premium,20,0.76,smart_tv
user_00036,6.95,0.9,premium,25,0.62,smart_tv
user_00037,6.57,0.93,premium,27,0.63,smart_tv
user_00038,2.1,0.3,standard,22,0.39,mobile
user_00039,0.73,0.25,ad_supported,6,0.23,mobile
user_00040,4.56,0.62,premium,30,0.79,smart_tv
user_00041,2.89,0.36,ad_supported,20,0.44,mobile
user_00042,4.97,0.62,premium,25,0.73,desktop
user_00043,6.39,0.74,premium,26,0.68,desktop
user_00044,5.94,0.94,premium,20,0.86,smart_tv
user_00045,2.64,0.25,standard,25,0.55,mobile
user_00046,2.11,0.23,standard,25,0.39,mobile
user_00047,3.86,0.49,premium,8,0.63,smart_tv
user_00048,2.79,0.46,premium,10,0.66,smart_tv
user_00049,1.03,0.25,ad_supported,22,0.42,mobile
user_00050,7.43,0.35,premium,29,0.72,smart_tv
user_00051,5.16,0.98,premium,20,0.66,desktop
user_00052,1.77,0.23,basic,5,0.25,tablet
user_00053,4.37,0.6,standard,28,0.81,desktop
user_00054,8.25,0.59,standard,30,0.91,smart_tv
user_00055,1.85,0.25,ad_supported,7,0.25,tablet
user_00056,5.17,0.7,premium,22,0.77,desktop
user_00057,6.55,0.91,premium,29,0.73,smart_tv
user_00058,1.15,0.32,basic,5,0.24,tablet
user_00059,5.69,0.31,premium,29,0.84,desktop
user_00060,8.02,0.58,premium,24,0.72,smart_tv
user_00061,3.25,0.31,ad_supported,18,0.37,mobile
user_00062,7.68,0.31,premium,28,0.94,smart_tv
user_00063,4.15,0.43,standard,28,0.87,desktop
user_00064,3.84,0.42,standard,12,0.75,tablet
user_00065,3.17,0.94,premium,30,0.85,desktop
user_00066,1.93,0.32,ad_supported,20,0.4,mobile
user_00067,8.39,0.58,standard,25,0.87,smart_tv
user_00068,2.58,0.45,ad_supported,24,0.49,mobile
user_00069,4.39,0.46,premium,12,0.53,smart_tv
user_00070,3.58,0.69,premium,23,0.65,smart_tv
user_00071,1.51,0.18,ad_supported,14,0.22,mobile
user_00072,1.48,0.47,basic,16,0.47,mobile
user_00073,8.57,0.34,premium,28,0.89,desktop
user_00074,4.94,0.58,premium,11,0.64,smart_tv
user_00075,4.79,0.56,standard,11,0.56,tablet
user_00076,1.69,0.23,ad_supported,14,0.31,mobile
