transaction_id,amount,hour_of_day,distance_from_home_km,transactions_last_24h,is_foreign_transaction,is_online,used_chip,merchant_category,is_fraud
txn_000001,42.88,15,14.1,3,0,1,1,travel,0
txn_000002,247.22,1,324.2,16,0,1,0,gas_station,1
txn_000003,24.2,8,7.5,1,0,1,1,entertainment,0
txn_000004,26.27,19,23.8,2,0,1,1,restaurant,0
txn_000005,82.62,17,13.3,5,0,1,1,gas_station,0
txn_000006,6.05,15,6.1,5,0,1,1,grocery,0
txn_000007,247.78,3,217.6,16,1,1,0,online_shopping,1
txn_000008,2423.04,23,126.1,14,1,0,0,retail,1
txn_000009,139.18,12,10.4,5,0,0,1,retail,0
txn_000010,10.14,17,6.7,1,0,0,1,online_shopping,0
txn_000011,68.48,14,0.4,2,0,1,0,entertainment,0
txn_000012,47.33,8,25.9,4,0,1,0,entertainment,0
txn_000013,18.57,16,27.9,2,0,0,1,retail,0
txn_000014,18.91,7,16.8,3,0,1,0,grocery,0
txn_000015,59.96,18,29.2,5,0,0,1,gas_station,0
txn_000016,47.65,15,4.2,4,0,1,1,restaurant,0
txn_000017,102.8,6,5.4,3,1,1,1,travel,0
txn_000018,23.17,20,24.8,3,0,0,1,travel,0
txn_000019,153.53,20,19.9,4,0,1,1,entertainment,0
txn_000020,153.1,9,7.3,1,1,0,1,travel,0
txn_000021,12.88,20,29.5,5,0,0,0,online_shopping,0
txn_000022,37.48,20,15.0,3,0,0,1,travel,0
txn_000023,6.2,11,2.2,1,0,0,1,gas_station,0
txn_000024,675.95,23,196.2,5,1,1,0,entertainment,1
txn_000025,312.43,23,348.9,11,1,1,0,retail,1
txn_000026,48.13,21,1.8,3,0,0,1,grocery,0
txn_000027,20.06,17,19.0,4,0,1,1,grocery,0
txn_000028,87.26,3,71.4,17,1,0,1,gas_station,1
txn_000029,34.29,7,27.4,3,0,0,0,entertainment,0
txn_000030,25.33,6,23.6,4,0,1,0,retail,0
txn_000031,14.16,14,25.7,3,0,1,1,travel,0
txn_000032,92.75,9,17.3,1,0,1,1,grocery,0
txn_000033,14.33,6,12.3,2,0,1,0,gas_station,0
txn_000034,379.67,1,361.9,10,1,1,0,entertainment,1
txn_000035,9.7,15,17.8,4,0,0,1,entertainment,0
txn_000036,34.6,12,22.7,2,0,1,1,online_shopping,0
txn_000037,106.12,20,5.8,1,0,0,1,travel,0
txn_000038,22.33,19,1.9,1,0,1,1,travel,0
txn_000039,94.4,15,6.6,3,0,1,1,grocery,0
txn_000040,167.16,0,398.8,15,1,1,1,gas_station,1
