credit_score,income,loan_amount,employment_years,debt_to_income,previous_defaults,default
843,233565.94,336174.22,14.97,0.13,0,0
538,234053.74,596912.74,33.57,0.69,0,1
690,48015.64,55386.43,13.57,0.49,0,0
334,137993.38,384256.37,24.84,0.22,0,0
401,21651.8,11128.45,18.49,0.5,0,0
723,154034.68,67774.31,6.72,0.4,0,0
391,79453.39,115977.62,23.69,0.46,3,0
819,208128.25,9804.55,15.58,0.2,0,0
840,202241.95,297576.47,6.36,0.63,2,1
308,177136.9,226235.53,17.43,0.23,0,0
495,206631.75,165236.25,31.6,0.07,0,0
420,47729.96,74424.01,29.98,0.38,0,0
467,23907.22,47322.93,2.44,0.35,0,1
348,173706.23,145774.21,4.76,0.56,0,0
560,223370.88,552398.24,22.15,0.09,0,0
709,165779.37,286161.47,10.86,0.28,0,0
436,243211.48,499949.35,23.61,0.77,0,1
480,43192.65,96852.81,27.62,0.12,0,0
485,82529.28,110576.75,4.46,0.41,0,1
321,193620.66,545844.88,12.55,0.24,0,0
314,109569.07,283809.62,30.31,0.34,0,1
425,210610.74,121119.26,8.29,0.32,0,0
345,216097.47,193260.17,7.36,0.5,0,0
372,120800.86,283209.67,2.13,0.1,0,0
663,179976.46,151852.49,19.58,0.19,0,0
670,151415.44,271458.88,32.42,0.62,0,0
837,190632.73,477753.59,29.15,0.41,0,0
389,193084.75,569245.44,32.26,0.6,0,0
618,203320.67,572201.98,0.57,0.44,0,0
385,173362.82,418368.03,15.92,0.64,0,1
711,240995.89,348680.2,21.35,0.27,1,0
607,57724.1,165420.18,19.61,0.16,0,1
476,64474.97,95913.58,20.35,0.35,0,0
392,27362.48,53916.84,0.41,0.19,0,0
494,236573.53,649481.11,29.51,0.61,0,1
535,100744.22,100524.12,23.12,0.47,0,0
457,249542.45,99772.96,33.68,0.68,0,1
648,20840.23,33041.09,2.78,0.73,0,0
647,188685.31,341295.71,18.4,0.43,0,0
482,206895.7,91464.42,2.98,0.2,0,0
463,161554.03,86000.47,22.32,0.11,0,0
705,148188.58,339832.54,30.2,0.29,1,0
684,213906.1,419611.32,11.36,0.57,0,1
693,191088.13,36383.09,29.76,0.15,0,0
695,246698.94,652666.48,31.58,0.65,0,0
716,45364.46,50698.46,29.25,0.12,0,0
656,210042.03,620826.75,8.34,0.73,0,0
762,166175.22,491882.17,31.99,0.6,2,0
542,64631.41,90963.84,11.56,0.55,0,1
529,194104.26,31075.99,20.41,0.63,0,0
655,42401.77,102705.04,26.02,0.63,0,1
554,80914.69,176653.5,20.59,0.47,0,0
689,131881.01,32540.24,23.75,0.64,0,1
427,113689.04,183986.51,9.08,0.45,0,1
834,62888.51,74486.08,27.91,0.59,0,1
614,121000.38,179963.73,2.86,0.75,0,0
712,208832.43,468232.7,4.9,0.46,0,0
763,206695.44,210476.39,28.61,0.47,0,0
760,32425.5,57890.85,32.55,0.65,0,0
747,52093.04,119129.95,16.67,0.11,3,0
326,61184.43,175718.16,20.09,0.45,0,1
396,172526.21,361811.5,5.72,0.58,0,0
449,215452.91,356629.41,6.08,0.62,3,0
582,115576.72,275506.96,27.86,0.06,0,0
535,140514.56,322495.41,32.73,0.78,0,1
